Date,Open,High,Low,Close,Adj Close,Volume
2008-04-25,641.419983,652.316711,634.485718,649.963989,586.371155,13609933
2008-04-28,651.573730,655.040894,639.574951,641.766663,578.975891,8245355
2008-04-29,638.943481,662.470459,638.943481,658.743286,594.291321,10040524
2008-04-30,656.279114,662.470459,645.531006,647.487488,584.136841,11054005
2008-05-02,749.396484,749.396484,651.078430,662.408508,597.598083,9729394
2008-05-05,662.495178,670.890625,656.279114,661.034058,596.358154,8494999
2008-05-06,643.896484,664.203979,643.896484,656.279114,592.068298,8492044
2008-05-07,668.661743,668.661743,649.840149,665.925171,600.770691,10293956
2008-05-08,663.708679,665.194641,656.923035,660.551147,598.817444,7648907
2008-05-09,660.117737,662.136108,621.607788,626.164612,567.644592,14163733
2008-05-12,621.867798,635.005798,613.460022,632.467346,573.358215,11149348
2008-05-13,643.896484,643.896484,616.159424,619.403687,561.515564,10501811
2008-05-14,624.084290,632.764526,614.240112,626.746582,568.172241,8115544
2008-05-15,626.783691,651.994751,626.746582,649.580139,588.871826,10096817
2008-05-16,651.573730,655.783813,644.639465,652.737671,591.734253,7808211
2008-05-20,650.087830,652.564331,637.457520,644.627075,584.381592,7177856
2008-05-21,638.943481,662.470459,631.575806,660.662598,598.918457,13466001
2008-05-22,652.564331,656.279114,643.153564,650.347839,589.567749,9639523
2008-05-23,651.326050,653.802612,631.513855,633.049316,573.885925,8331843
2008-05-26,629.037354,632.714966,619.651306,622.994629,564.770874,10749465
2008-05-27,633.990417,641.370422,614.178223,617.917786,560.168579,7057736
2008-05-28,620.369507,627.799072,611.949341,624.703430,566.320007,8711173
2008-05-29,632.863586,632.863586,605.510376,609.893799,552.894470,16648307
2008-05-30,618.858826,618.858826,591.951416,595.232788,539.603577,14491220
2008-06-02,601.300293,604.272095,579.506836,584.162720,529.568115,11074041
2008-06-03,581.983398,600.532532,572.820251,596.012878,540.310852,14585077
2008-06-04,596.594849,605.262695,565.885986,571.334351,517.938660,15726418
2008-06-05,581.983398,581.983398,538.644165,556.425659,504.423309,31157117
2008-06-06,569.353088,569.353088,547.807312,554.370117,502.559875,20048676
2008-06-09,540.377747,549.639954,522.794434,535.598083,485.542175,21117856
