Date,Open,High,Low,Close,Adj Close,Volume
2008-09-17,440.070007,443.959991,425.059998,433.629974,363.157715,5484590
2008-09-18,424.799988,434.399994,400.000000,426.100006,356.851532,11801080
2008-09-19,450.000000,466.570007,443.200012,463.470032,388.148193,8215065
2008-09-22,468.839996,470.000000,458.649994,466.459991,390.652313,5341930
2008-09-23,460.000000,462.799988,437.000000,439.450012,368.031952,4754520
2008-09-24,446.000000,452.000000,431.250000,435.739990,364.924835,6445780
2008-09-25,437.179993,446.399994,430.000000,433.079987,362.697113,7473000
2008-09-26,430.000000,433.799988,414.629974,418.229980,350.260498,6772730
2008-09-29,418.000000,424.000000,399.959991,406.359985,340.319580,11789635
2008-09-30,398.940002,442.190002,390.600006,428.790009,359.104370,11163740
2008-10-01,429.600006,446.799988,423.020020,441.410004,369.673431,5302575
2008-10-03,442.000000,443.640015,412.029968,415.910004,348.317566,5256700
2008-10-06,414.799988,414.799988,389.799988,392.209991,328.469238,7827370
2008-10-07,400.000000,413.600006,388.059998,390.429993,326.978455,10588470
2008-10-08,384.000000,389.000000,362.000000,377.640015,316.267090,9833935
2008-10-10,351.000000,371.739990,328.200012,344.359985,288.395660,14060605
2008-10-13,353.600006,374.989990,333.329987,362.369995,303.478699,15931590
2008-10-14,373.000000,389.540009,360.000000,366.679993,307.088257,10391235
2008-10-15,359.799988,360.000000,338.309998,342.010010,286.427612,14112265
2008-10-16,334.799988,378.989990,317.250000,360.950012,302.289520,11009235
2008-10-17,369.000000,373.959991,350.200012,356.410004,298.487244,7658345
2008-10-20,359.980011,379.799988,356.000000,376.600006,315.396118,6690805
2008-10-21,382.000000,401.200012,377.200012,395.029999,330.830902,6110695
2008-10-22,392.000000,397.000000,376.230011,380.989990,319.072693,8265305
2008-10-23,373.600006,384.399994,344.470001,352.760010,295.430542,12292170
2008-10-24,346.000000,352.000000,308.720001,315.010010,263.815552,11932075
2008-10-27,307.000000,313.799988,276.399994,293.480011,245.784531,10447035
2008-10-29,320.200012,330.000000,297.010010,300.899994,251.998611,10994350
2008-10-31,308.000000,363.000000,308.000000,352.940002,295.581268,16860230
2008-11-03,372.779999,388.880005,356.000000,378.869995,317.297180,10863795
2008-11-04,370.000000,385.950012,359.070007,383.790009,321.417633,9573280
2008-11-05,390.000000,399.799988,347.040009,349.959991,293.085510,10876430
2008-11-06,340.000000,348.000000,327.260010,331.459991,277.592102,7000190
2008-11-07,331.399994,346.000000,328.019989,340.309998,285.003906,7047515
2008-11-10,347.200012,357.000000,342.000000,355.299988,297.557739,6089205
2008-11-11,352.000000,353.600006,326.510010,331.859985,277.927124,7438435
2008-11-12,330.399994,346.000000,320.420013,327.230011,274.049561,6740555
2008-11-14,340.000000,343.000000,303.070007,311.730011,261.068665,11882390
2008-11-17,312.980011,317.799988,279.200012,299.459991,250.792648,16274920
2008-11-18,296.000000,296.000000,280.059998,283.970001,237.820114,8742080
2008-11-19,284.399994,298.100006,270.000000,273.230011,228.825531,13109250
2008-11-20,273.230011,273.230011,273.230011,273.230011,228.825531,0
2008-11-21,259.959991,284.000000,252.240005,279.209991,233.833633,13513555
2008-11-24,287.000000,288.600006,268.630005,274.390015,229.797028,9504855
2008-11-25,284.019989,289.600006,268.410004,270.119995,226.220932,13682860
2008-11-26,272.799988,285.959991,263.200012,283.040009,237.041229,13486800
2008-11-27,283.040009,283.040009,283.040009,283.040009,237.041229,0
2008-11-28,280.000000,297.200012,274.100006,293.890015,246.127884,14842575
2008-12-01,296.000000,298.679993,282.829987,288.750000,241.823196,8289785
2008-12-02,278.000000,282.600006,267.399994,277.480011,232.384750,7767230
2008-12-03,284.000000,287.959991,275.000000,282.100006,236.253967,7782495
2008-12-04,284.399994,306.500000,280.440002,302.350006,253.212967,7965060
2008-12-05,302.000000,309.600006,282.230011,286.059998,239.570389,10102075
2008-12-08,311.600006,311.600006,296.260010,302.390015,253.246475,8234310
2008-12-10,307.200012,328.000000,300.880005,323.709991,271.101593,13944425
2008-12-11,324.000000,329.399994,316.799988,321.200012,268.999603,11639470
2008-12-12,310.010010,330.000000,305.000000,326.859985,273.739655,9145735
2008-12-15,330.399994,335.760010,319.600006,322.549988,270.130157,8980950
2008-12-16,320.440002,321.600006,305.600006,309.239990,258.983246,18342565
2008-12-17,312.010010,317.799988,302.109985,307.660004,257.660065,11644585
2008-12-18,309.940002,313.940002,295.440002,306.910004,257.031952,13018900
2008-12-19,305.000000,312.779999,299.000000,304.760010,255.231323,12358265
2008-12-22,306.010010,314.399994,293.399994,299.250000,250.616837,9696475
2008-12-23,296.730011,298.799988,285.640015,296.010010,247.903381,9023580
2008-12-24,292.000000,304.570007,290.260010,292.709991,245.139664,9091975
2008-12-26,294.000000,303.000000,286.000000,289.809998,242.710938,4111030
2008-12-29,288.000000,301.579987,283.410004,299.609985,250.918320,5066935
2008-12-30,301.000000,309.760010,296.399994,306.529999,256.713654,5183215
2008-12-31,308.000000,311.739990,295.000000,297.279999,248.966949,6265795
2009-01-02,305.000000,312.359985,301.570007,309.029999,258.807373,5524280
2009-01-05,311.109985,329.799988,309.109985,326.029999,273.044647,7843465
2009-01-06,327.000000,342.299988,318.399994,336.089996,281.469666,12271175
2009-01-07,335.000000,344.799988,322.200012,325.850006,272.893860,9906570
2009-01-09,313.209991,380.000000,312.459991,328.739990,275.314148,9595280
2009-01-12,327.799988,330.600006,314.399994,323.359985,270.808472,5962785
2009-01-13,320.000000,329.799988,305.600006,310.640015,260.155762,5378725
2009-01-14,312.000000,322.630005,311.000000,317.269989,265.708282,5720965
2009-01-15,311.600006,314.989990,300.269989,306.970001,257.082123,9043025
2009-01-16,310.869995,316.399994,308.000000,313.100006,262.215942,3967965
2009-01-19,310.010010,314.000000,303.000000,309.220001,258.966553,4701380
2009-01-20,303.109985,305.000000,292.000000,297.160004,248.866470,6562815
2009-01-21,289.799988,291.609985,270.220001,274.709991,230.065002,13730045
2009-01-22,277.609985,286.980011,271.700012,280.649994,235.039627,7917370
2009-01-23,276.000000,285.000000,275.010010,277.820007,232.669540,6309430
2009-01-27,280.000000,292.000000,279.000000,289.119995,242.133118,4388750
2009-01-28,288.000000,304.000000,283.200012,300.910004,252.007050,5779095
2009-01-29,302.000000,312.890015,298.000000,306.040009,256.303314,7963660
2009-01-30,300.000000,309.760010,297.399994,306.320007,256.537811,5468400
2009-02-02,301.049988,305.209991,281.260010,284.299988,238.096420,7258830
2009-02-03,286.000000,293.200012,281.420013,286.260010,239.737869,7216670
2009-02-04,290.000000,295.000000,286.000000,287.709991,240.952255,3899915
2009-02-05,287.600006,291.000000,275.000000,277.579987,232.468552,6618285
2009-02-06,280.440002,284.989990,277.059998,282.399994,236.505173,4287465
2009-02-09,285.200012,300.980011,284.799988,298.410004,249.913315,7940390
2009-02-10,299.600006,309.399994,295.250000,302.040009,252.953400,5867000
2009-02-11,296.000000,310.000000,294.200012,306.390015,256.596497,4278355
2009-02-12,304.399994,308.940002,300.000000,305.010010,255.440735,3349885
